9128285M8,100.648,0,0,100.664,0,0
9128285M8,100.805,1000000,2000000,100.812,1000000,2000000
912810SE9,100.822,0,0,100.834,0,0
912810SE9,100.971,0,0,100.982,0,0
9128285L0,100.688,1000000,2000000,100.695,1000000,2000000
9128285N6,100.342,1000000,2000000,100.346,1000000,2000000
9128285L0,99.2012,1000000,2000000,99.2051,1000000,2000000
912810SE9,99.8613,0,0,99.873,0,0
9128285M8,100.912,1000000,2000000,100.916,1000000,2000000
9128285L0,100.93,1000000,2000000,100.938,1000000,2000000
9128285Q9,99.084,1000000,2000000,99.0879,1000000,2000000
9128285M8,100.285,0,0,100.301,0,0
9128285N6,99.0977,0,0,99.1133,0,0
912810SE9,99.1582,0,0,99.1699,0,0
912810SE9,100.309,1000000,2000000,100.316,1000000,2000000
9128285M8,99.8008,0,0,99.8164,0,0
9128285Q9,100.654,0,0,100.666,0,0
912810SE9,100.678,1000000,2000000,100.682,1000000,2000000
9128285L0,99.1797,0,0,99.1953,0,0
912810SE9,99.0059,0,0,99.0176,0,0
9128285M8,99.8984,0,0,99.9141,0,0
912810SE9,99.7285,0,0,99.7402,0,0
9128285Q9,99.5352,0,0,99.5508,0,0
912810SE9,100.637,0,0,100.652,0,0
9128285M8,99.8652,0,0,99.877,0,0
912810SE9,99.5664,0,0,99.582,0,0
912810SE9,100.189,0,0,100.201,0,0
9128285L0,100.887,1000000,2000000,100.895,1000000,2000000
9128285P1,99.8711,1000000,2000000,99.8789,1000000,2000000
912810SE9,100.701,1000000,2000000,100.705,1000000,2000000
9128285Q9,99.4336,0,0,99.4492,0,0
912810SE9,99.7539,0,0,99.7695,0,0
9128285L0,99.793,0,0,99.8086,0,0
9128285L0,99.7715,0,0,99.7832,0,0
9128285P1,99.2676,0,0,99.2793,0,0
9128285M8,100.668,1000000,2000000,100.676,1000000,2000000
9128285P1,99.6855,1000000,2000000,99.6895,1000000,2000000
9128285L0,100.25,1000000,2000000,100.258,1000000,2000000
9128285P1,100.654,0,0,100.666,0,0
9128285M8,99.2773,0,0,99.293,0,0
9128285L0,100.527,1000000,2000000,100.535,1000000,2000000
9128285L0,99.9512,0,0,99.9629,0,0
9128285M8,100.422,0,0,100.438,0,0
